2020-08-09 16:33:48,521 | root | INFO | Number of pages for https://www.teknosa.com/sarjli-supurgeler-c-104001004 is 1
2020-08-09 16:33:48,815 | root | INFO | HTML PAGE WRITTEN : toz-torbasiz-supurgeler--0
2020-08-09 16:33:49,497 | root | INFO | HTML PAGE WRITTEN : supurgeler-c-104001-3
2020-08-09 16:33:49,793 | root | INFO | HTML PAGE WRITTEN : sarjli-supurgeler-c--0
2020-08-09 16:33:50,088 | root | INFO | HTML PAGE WRITTEN : toz-torbasiz-supurgeler--1
2020-08-09 16:33:50,088 | root | INFO |  SUB-PAGE Task is ended for : https://www.teknosa.com/toz-torbasiz-supurgeler-c-104001001 
2020-08-09 16:33:50,693 | root | INFO | HTML PAGE WRITTEN : sarjli-supurgeler-c--1
2020-08-09 16:33:50,693 | root | INFO |  SUB-PAGE Task is ended for : https://www.teknosa.com/sarjli-supurgeler-c-104001004 
2020-08-09 16:33:51,054 | root | INFO | HTML PAGE WRITTEN : supurgeler-c-104001-4
2020-08-09 16:33:51,941 | root | INFO | HTML PAGE WRITTEN : supurgeler-c-104001-5
2020-08-09 16:33:51,941 | root | INFO |  SUB-PAGE Task is ended for : https://www.teknosa.com/supurgeler-c-104001 
2020-08-09 16:33:51,941 | root | INFO |  Paging Task is ended for product : süpürge  
2020-08-09 16:33:51,941 | root | INFO |  Product Tasks are ended for teknosa  
2020-08-09 16:33:51,941 | root | INFO | 
TASK : {<Task finished coro=<product_queue() done, defined at C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\crawler.py:62> result=0>} ENDED 

2020-08-09 16:33:51,941 | root | INFO | **** Vendor Tasks are ended **** 
2020-08-09 16:33:51,942 | root | INFO | CRAWLER ENDS
2020-08-09 16:33:51,943 | root | INFO | SCRAPER STARTS
2020-08-09 16:33:51,945 | root | INFO | SCARAPER STARTS : 
2020-08-09 16:33:51,945 | root | INFO | Vendor : teknosa
2020-08-09 16:33:51,997 | root | INFO | CREATING WORKER_1 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\dikey-supurgeler-c--0.html
2020-08-09 16:33:52,074 | root | INFO | CREATING WORKER_2 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\filtreli-supurgeler-c--0.html
2020-08-09 16:33:52,128 | root | INFO | CREATING WORKER_3 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\robot-supurgeler-c--0.html
2020-08-09 16:33:52,216 | root | INFO | CREATING WORKER_4 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\sarjli-supurgeler-c--0.html
2020-08-09 16:33:52,260 | root | INFO | CREATING WORKER_5 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\sarjli-supurgeler-c--1.html
2020-08-09 16:33:52,281 | root | INFO | CREATING WORKER_6 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\supurge-aparatlari-c--0.html
